ImageNum,Distances,PeroArea,PeroMeanIntensity,PeroTotalIntensity
1,0,28,40.8571428571429,1144
1,1.35403593298523,80,60.3,4824
1,4.27471576997392,25,43.84,1096
1,0,66,57.6969696969697,3808
1,2.84312661982184,90,56.1777777777778,5056
1,0,118,68.5423728813559,8088
1,15.5,108,64.2222222222222,6936
1,0,46,65.2173913043478,3000
1,0,60,74.5333333333333,4472
1,0,86,76.8372093023256,6608
1,0,119,81.546218487395,9704
1,0,76,84.6315789473684,6432
1,0,56,81.4285714285714,4560
1,0,174,79.9080459770115,13904
1,14.6256118330249,51,66.8235294117647,3408
1,17.7237484161567,98,68.4081632653061,6704
1,0,40,41,1640
1,0,116,86.0689655172414,9984
1,0,43,57.8604651162791,2488
1,0,154,62.5974025974026,9640
1,3.74457598334778,100,73.52,7352
1,0,162,94.3703703703704,15288
1,0,72,70.4444444444444,5072
1,0,123,69.3983739837398,8536
1,0,34,61.1764705882353,2080
1,0,115,54.1913043478261,6232
1,0,70,54.2857142857143,3800
1,0,52,62.3076923076923,3240
1,1,135,74.0148148148148,9992
1,0,139,95.9208633093525,13333
1,0,138,95.6521739130435,13200
1,0,102,62.1960784313725,6344
1,0,80,67.5,5400
1,7.42858369401823,75,62.8266666666667,4712
1,0,38,70.1052631578947,2664
1,0,33,70.7878787878788,2336
1,0,142,59.1549295774648,8400
1,2.67707505835009,49,51.1020408163265,2504
1,6.45049024320361,42,52,2184
1,19.3104391295374,104,48.5384615384615,5048
1,27.8643028946947,40,51.6,2064
1,32.8932350944715,47,50.5531914893617,2376
1,2.46129558321903,54,57.6296296296296,3112
1,0.240781951095826,124,105.483870967742,13080
1,11.4723074309313,103,106.330097087379,10952
1,6.9449132236623,75,65.28,4896
1,0,159,70.9433962264151,11280
1,0,108,77.8518518518518,8408
1,16.4164878389476,24,95.3333333333333,2288
1,13.6226215569918,64,79.125,5064
1,5.48079759479735,161,103.447204968944,16655
1,0,56,75.2678571428571,4215
1,9.37756424976696,35,101.485714285714,3552
1,1.68613367140455,78,88.1025641025641,6872
1,0,168,52.9047619047619,8888
2,8.63083013070256,34,126.764705882353,4310
2,20.3902277713536,69,154.463768115942,10658
2,0.477319491406369,73,153.808219178082,11228
2,4.5,47,157.808510638298,7417
2,10.4039152797175,66,123.363636363636,8142
2,1.93844718719117,22,122,2684
2,1.7103931359963,59,137.491525423729,8112
2,0,34,151.058823529412,5136
2,7.08966301639478,101,173.584158415842,17532
2,9.00499349701728,33,185.818181818182,6132
2,0,95,155.378947368421,14761
2,0,87,161.402298850575,14042
2,0,56,159.660714285714,8941
2,0,34,147.794117647059,5025
2,0,72,125.486111111111,9035
2,0,50,159.32,7966
2,0,21,128.619047619048,2701
2,0,43,141.720930232558,6094
2,7.29934804499971,31,146.41935483871,4539
2,1.0256514870142,20,121.15,2423
2,0.968871125850725,72,149.680555555556,10777
2,2.78902141440402,36,146.027777777778,5257
2,3.5,53,144.735849056604,7671
2,3.03746670078395,21,119.380952380952,2507
2,4.2861660615631,75,163.4,12255
2,3.15700426366286,44,147.636363636364,6496
2,4.98182255116046,43,142.302325581395,6119
2,1.39444872453601,73,158.342465753425,11559
2,9.16757002617192,37,160.810810810811,5950
2,4.71110255092798,41,142.243902439024,5832
2,0.091976751468386,86,158.720930232558,13650
2,7,92,159.173913043478,14644
2,7.61278982429631,50,152.1,7605
2,2.46646056295241,117,144.435897435897,16899
2,5.82618977079876,57,145.298245614035,8282
2,42.9862616621766,26,120.153846153846,3124
2,0,113,165.29203539823,18678
2,9.04536101718726,43,137.837209302326,5927
2,0,126,154.063492063492,19412
2,0,94,147.659574468085,13880
2,8.12800862740546,85,151.317647058824,12862
2,0,208,156.192307692308,32488
2,11.4023451158537,32,148,4736
2,0,37,138.27027027027,5116
2,0,123,162.373983739837,19972
2,8.50606067285956,53,149.396226415094,7918
2,0,27,132.925925925926,3589
2,0,65,164.753846153846,10709
2,0,95,169.842105263158,16135
2,0,59,154.322033898305,9105
2,5.41533019349716,71,155.12676056338,11014
2,3.50279476098275,48,146.541666666667,7034
2,12.0805828109221,21,116.666666666667,2450
2,6.47731949140637,98,160.234693877551,15703
2,24.6897560581727,48,124.916666666667,5996
2,15.9591059495783,50,143.84,7192
2,21.4704712047596,24,149.166666666667,3580
2,17.6630240006519,70,168.985714285714,11829
2,25.6411302240168,139,162.187050359712,22544
2,7,49,161.897959183673,7933
2,11.5067291544333,28,129.142857142857,3616
2,19.0945623560295,57,150.842105263158,8598
2,21.540659228538,76,151.657894736842,11526
2,15.0600757111813,50,135.78,6789
2,8.05635251422661,82,176.792682926829,14497
2,27.2021752412096,51,144.274509803922,7358
2,33.799643553949,62,149.774193548387,9286
2,48.3035431835222,29,140.344827586207,4070
2,17.0638942355797,50,128.6,6430
2,17.8931760992622,62,160.145161290323,9929
2,60.2040074914236,47,140.31914893617,6595
2,3.40321599799602,67,145.805970149254,9769
2,70.8174492925583,46,152.413043478261,7011
3,38.7923546218158,52,102.019230769231,5305
3,0,67,105.985074626866,7101
3,35.5920966381686,54,89.8333333333333,4851
3,14.125181965277,48,118.875,5706
3,6.01014327373553,63,108.968253968254,6865
3,0,56,124.303571428571,6961
3,0,33,88.2121212121212,2911
3,5.24822330079294,43,108.581395348837,4669
3,0.746269987940468,75,122.013333333333,9151
3,6.10232526704263,55,88.1454545454545,4848
3,13.4390889145858,66,115.015151515152,7591
3,0,139,137.374100719424,19095
3,0,60,142.15,8529
3,0,31,90.6451612903226,2810
3,0,49,104.714285714286,5131
3,1.64589803375032,57,137.315789473684,7827
3,0.469695256601128,24,82.875,1989
3,16.9586187348509,55,120.509090909091,6628
3,13.4626218834512,27,112.185185185185,3029
3,0,40,95.2,3808
3,1.32716473969663,55,94.5090909090909,5198
3,0,144,147.743055555556,21275
3,0,75,104.32,7824
3,0.93844718719117,71,97.6478873239437,6933
3,0,40,88.8,3552
3,0,38,86.7894736842105,3298
3,0,42,86.9761904761905,3653
3,0,63,102.730158730159,6472
3,0,36,92.8333333333333,3342
3,6.68250573650657,22,90,1980
3,0,113,115.734513274336,13078
3,2.21110255092798,48,103.333333333333,4960
3,1.75846935070171,139,142.712230215827,19837
3,0,26,92.8461538461538,2414
3,0,50,76.62,3831
3,10.5438698009407,30,86.3333333333333,2590
3,2.5,36,93.7777777777778,3376
3,16.0249843945008,64,131.1875,8396
3,0,74,104.256756756757,7715
3,12.6327459504216,88,124.511363636364,10957
3,14.2829925445343,47,108.191489361702,5085
3,0,25,76.32,1908
